paper_id,title,year,doi,C1_decision,C1_EC_code,C1_reason
377,Traumatic Stress Exposure as a Predictor of Dual Systems Model Development: Examining Deviant Peer Association as a Social Mediating Mechanism,2024,10.1177/00111287241305057,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable with its own coefficient found anywhere in the paper (main tables, no supplementary SM-specific estimates). All analyses involve traumatic stress exposure (KSADS PTSD subscale, Wave 3), deviant peer association (Peer Behavior Profile, Wave 4), prosocial peer association, impulse control, and sensation-seeking (UPPS Scale, Wave 5)."
380,Prevalence and Correlates of Emotion Dysregulation in Children: Results from the ABCD Study,2026,10.1177/10445463251415488,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable (time on phone, SM platform, texting, app use, etc.) appears as a labeled variable with its own numeric estimate (beta, OR, aOR) anywhere in the paper, including main tables, supplementary, or sensitivity analyses."
381,Bidirectional Associations Between Screen Time and Irritability in Preadolescence: A Temporal Network Analysis.,2026,10.1177/10445463251415497,INCLUDE,,"Step 1 hit: The temporal network (GVAR) reports separate quantitative edge weights for social media use predicting irritability over time (edge weight = 0.12) and for online chatting (texting + video chat combined) predicting irritability (edge weight = -0.03), as well as irritability predicting online chatting (edge weight = 0.03)."
384,Associations between media parenting practices and early adolescent consumption of R-rated movies and mature-rated video games.,2025,10.1186/s12887-024-05367-w,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable (time on phone, time on SM, named platform, texting, etc.) has its own coefficient in any result location (main tables, appendices D-G). The DVs are R-rated movie consumption frequency and mature-rated video game frequency. Mature/R-rated content alone does not qualify as a phone/SM variable (binding clarification #4)."
385,"Longitudinal changes in screen time, sleep, and sports/exercise activity in early adolescence.",2025,10.1186/s12887-025-06368-z,EXCLUDE,FT-EC2,"Step 1: Digital socializing (texting + video chatting + social networking) has its own coefficient estimates (e.g., increased by 0.98 h/day from baseline to Year 3, 95% CI 0.51-1.45, p<0.001; sex-stratified: females 1.39 h/day, males 0.48 h/day). This is a qualifying phone/SM variable."
388,Screen media activity does not displace other recreational activities among 9-10 year-old youth: a cross-sectional ABCD study(R).,2020,10.1186/s12889-020-09894-w,INCLUDE,,"Lees 2020 BMC Public Health -- cross-sectional ABCD baseline analysis of N=9,254 youth (ages 9-10) testing whether screen media activity (SMA) displaces recreational activity engagement. Methods entered 12 SMA items (6 screen types x WD/WE) into Group Factor Analysis (GFA), which extracted 15 robust latent group factors (GFs). The GFs were then used as predictors in GLMM logistic regressions predicting recreational activity endorsement. Fig."
389,Problematic social media use and alcohol expectancies in early adolescents.,2023,10.1186/s12889-023-15298-3,INCLUDE,,Step 1 hit: Table 2 (Model 3) reports B=0.045 (95% CI 0.020-0.069) for SMAQ score predicting positive alcohol expectancies and B=0.072 (95% CI 0.043-0.101) for negative alcohol expectancies. SMAQ is a qualifying problematic SM scale; alcohol expectancies are individual-trait-level (substance-use belief outcome).
390,Associations between adverse childhood experiences and early adolescent problematic screen use in the United States.,2023,10.1186/s12889-023-16111-x,EXCLUDE,FT-EC7,"All three EC7 conditions hold: (a) longitudinal prospective design (baseline ACEs predict Year 2 screen outcomes); (b) SM/phone variables (SMAQ, MPIQ, VGAQ) are DVs in every analysis; (c) no analysis with SM/phone as IV anywhere in the paper. No cross-sectional analysis with SM as DV is present to trigger the carve-out."
392,Association of physical activity and screen time with cardiovascular disease risk in the Adolescent Brain Cognitive Development Study.,2024,10.1186/s12889-024-18790-6,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific numeric estimate found anywhere in main tables or supplements; all results use total recreational screen time only. Step 2: The composite screen time measure includes ""television shows, movies, videos, video chat, single and multi-player video games, social media, and texting"" (Methods, p.3) - this bundles TV shows, movies, and video games (non-phone/non-SM..."
393,Screen time and mental health: a prospective analysis of the Adolescent Brain Cognitive Development (ABCD) Study.,2024,10.1186/s12889-024-20102-x,INCLUDE,,"Step 1 hit: Table 2 (Model 2, Adjusted) reports separate coefficients for social media (B=0.13, 95% CI 0.01, 0.26, p=0.036), video chat (B=0.35, 95% CI 0.19, 0.51, p<0.001), and texting (B=0.29, 95% CI 0.07, 0.51, p=0.012) as IVs predicting depressive symptoms (CBCL DSM-oriented scale, a mental-health individual-trait outcome). Phone/SM-specific estimates paired with individual-trait outcomes."
394,Screen time and mental health: a prospective analysis of the Adolescent Brain Cognitive Development (ABCD) Study,2024,10.1186/s12889-024-20102-x,INCLUDE,,"Step 1 hit: Table 2 (Model 2) reports per-modality coefficients for phone/SM-specific variables paired with individual-trait mental health outcomes. Texting x depressive symptoms B=0.26 (95% CI 0.09, 0.44), p=0.005; video chat x depressive symptoms B=0.35 (95% CI 0.19, 0.51), p<0.001; social media x depressive symptoms B=0.14 (95% CI -0.09, 0.33);"
395,"Adolescent screen time, anxiety/depression, and alcohol/e-cigarette use: evidence from the ABCD study.",2025,10.1186/s12889-025-25956-3,INCLUDE,,"Step 1 hit: Social media use is analyzed separately as a secondary exposure with its own GBTM trajectory groups and beta coefficients against anxiety/depression (individual-trait outcomes). Table 4 reports numeric estimates: Group 2 (Gradual Increase to Moderate Use) β = -0.30 (95% CI: -0.58, -0.03) for anxiety; Groups 3-5 show β = 1.03, 1.08, 1.49 for depression (all p <= 0.014)."
397,Higher recreational screen time and lower step count are associated with higher cardiovascular disease risk in early adolescence,2026,10.1186/s12889-026-26756-z,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific estimate found anywhere in the paper (Tables 2, 3, S2-S6). The sole exposure is total recreational screen time as a categorical composite. Step 2: The composite is defined in methods as encompassing 'watching television and videos, playing video games, texting, social media, and video chat' -- it bundles TV, video games (non-phone/non-SM), and phone/SM activities with..."
398,Screen time and problem behaviors in children: exploring the mediating role of sleep duration.,2019,10.1186/s12966-019-0862-x,INCLUDE,,"Step 1 hit: ""Social media"" is defined in methods as texting + visiting social networking sites (e.g., Twitter, Instagram) + video chat (e.g., FaceTime) -- exclusively phone/SM items. Table 2 reports separate IRR estimates for social media as IV: social media -> rule-breaking behavior B=0.08, p<.001, IRR=1.084 (95% CI 0.046, 0.115);"
400,"Longitudinal associations of screen time, physical activity, and sleep duration with body mass index in U.S. youth.",2024,10.1186/s12966-024-01587-6,INCLUDE,,Step 1: The 'socializing' screen time category is defined in the Methods as 'texting + video chatting + using social networking sites' -- exclusively phone/SM/digital-socializing items. This variable has its own separate coefficient in all analyses.
403,Social epidemiology of online dating in U.S. early adolescents.,2024,10.1186/s13104-024-06777-w,EXCLUDE,FT-EC2,"Sexual minority status as IV predicting online dating app use as DV. Sexual orientation is an identity characteristic, not an individual-trait outcome — the analysis is a demographic-epidemiology characterization of who uses dating apps, which fails the FT-IC2 individual-trait other-side requirement."
404,Dating app use and depression symptoms in adolescents.,2026,10.1186/s13104-026-07641-9,INCLUDE,,"Step 1 hit: dating app use is a qualifying SM/phone variable (online dating apps explicitly listed in IC2 criteria). It appears as IV with its own coefficient paired with depression symptoms (mental health = individual-trait). Table 2: adjusted standardized beta ß=0.42 (95% CI 0.08-0.76, p=0.017). Sensitivity analyses (Appendix D) also report ß=0.44 (95% CI 0.03-0.85, p=0.035)."
420,"Screen time and early adolescent mental health, academic, and social outcomes in 9- and 10- year old children: Utilizing the Adolescent Brain Cognitive Development   (ABCD) Study.",2021,10.1371/journal.pone.0256591,INCLUDE,,"Step 1 hit: the STQ breaks screen time into six types including 'texting on cellphone, tablet, or computer' and 'visiting social media sites.' Supplementary Tables S6-S18 (weekday) and S19-S31 (weekend) run separate regressions of each screen-type subcomponent on every outcome (depression, anxiety, internalizing, externalizing, ODD, conduct disorder, ADHD, academic performance, sleep, peer..."
429,24-Hour Movement Behaviors and Impulsivity.,2019,10.1542/peds.2019-0187,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific coefficient (texting, social media, phone time, etc.) appears in any results table or supplementary material. The only screen-time variable reported is a composite ST recommendation indicator (meeting/not-meeting <=2 hrs/day) derived from the 12-item Youth Screen Time Survey."
431,"Smartphone Ownership, Age of Smartphone Acquisition, and Health Outcomes in Early Adolescence.",2026,10.1542/peds.2025-072941,INCLUDE,,"Step 1 hit: smartphone ownership (yes/no) as IV paired with depression (OR=1.31), obesity (OR=1.40), and insufficient sleep (OR=1.62) as individual-trait outcomes (Table 1 in main paper). Age of first smartphone acquisition paired with obesity (OR=1.09 per year earlier) and sleep (OR=1.08)."
433,Sociodemographic Associations With Early Smartphone Ownership in US Adolescents,2026,10.1542/peds.2025-073891,EXCLUDE,FT-EC2,"Smartphone ownership age (early <10 years, binary DV) is a qualifying phone variable. However, the other side consists exclusively of demographic predictors: sex (OR=1.38 female vs. male), race/ethnicity (OR=2.78 Black, OR=1.36 Hispanic, OR=1.69 multiracial), household income (<$75,000 OR=1.10), parental marital status (single parent OR=2.01, cohabiting OR=1.90), and parental education..."
434,Sociodemographic Associations With Early Smartphone Ownership in US Adolescents,,10.1542/peds.2025-073891/206084,EXCLUDE,FT-EC2,"Step 1: The qualifying smartphone variable is age of first smartphone ownership / early smartphone ownership (<10 years old), which qualifies as a phone variable (smartphone ownership). However, the other side of every analysis consists exclusively of demographic variables: youth sex, race/ethnicity, household income, parental marital status, and parental education."
435,"Digital Media, Genetics, and Risk for ADHD Symptoms in Children: A Longitudinal Study",2025,10.1542/pedsos.2025-000922,INCLUDE,,"Step 1 hit: Table 2 reports separate β coefficients for ""social media use x time"" predicting inattention symptoms (β=0.03, p<.001); Figure 3 cross-lagged panel model reports social media use as IV predicting inattention (β=0.03, p=.004). Social media use is constructed from YSTS items 4 (texting) + 5 (visiting social networking sites) + 6 (video chat), a qualifying SM/phone-specific composite."
436,"Digital Media, Genetics, and Risk for ADHD Symptoms in Children: A Longitudinal Study",,10.1542/pedsos.2025-000922/205729,INCLUDE,,"Step 1 hit: social media use (items 4+5+6: texting + social networking sites + video chat) is a qualifying phone/SM-specific variable with its own beta coefficients throughout Table 2 (e.g., social media use x time for inattention: β [SE] = 0.03 [0.01], P<.001) and cumulative effect β=0.15 predicting ADHD inattention symptoms (individual-trait outcome). SM is IV;"
439,Brain structural covariation linked to screen media activity and externalizing behaviors in children.,2022,10.1556/2006.2022.00044,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific per-modality estimate found anywhere. The paper reports only a single brain covariation component->total SMA score coefficient (β = 0.107, P = 0.002). SMA is never broken out by modality in any results table or supplement."
440,Brain structural co-development is associated with internalizing symptoms two years later in the ABCD cohort.,2023,10.1556/2006.2023.00006,EXCLUDE,FT-EC2,"Step 1: All results tables (Table A2, Fig. 2B mediation diagram, text) report only the composite 'baseline total screen time' (or 'SMA') variable -- no separate per-modality coefficient for phone/SM-specific items (social media, texting, etc.) appears anywhere in main text, appendix, or supplementary."
441,"Screen time, sleep, brain structural neurobiology, and sequential associations with child and adolescent psychopathology: Insights from the ABCD study.",2024,10.1556/2006.2024.00016,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific estimate found anywhere in the paper. The SMA measure is defined as 'total number of hours spent on non-school-related SMA on a typical day,' a composite that 'mainly included time spent watching TV shows/movies, watching videos, playing video games, texting on electronic devices, visiting social networking sites, and video-chatting' (Methods, SMA section)."
442,The longitudinal association between reward processing and symptoms of video game addiction in the Adolescent Brain Cognitive Development Study.,2024,10.1556/2006.2024.00068,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable with its own coefficient anywhere in the paper (main tables, Table 3, Table 4, supplementary). The only gaming-side variable is VGAQ (Video Game Addiction Questionnaire), which measures generic video game addiction (single-player or online multiplayer, platform unspecified). Step 2: VGAQ is not a composite including phone/SM items; it is a gaming-only scale."
443,Beyond screen time: The core influences of problematic screen use on adolescent development networks.,2025,10.1556/2006.2025.00035,INCLUDE,,"Step 1 hit: SMAQ (Problematic Social Media, node A2) and MPIQ (Problematic Mobile Phone, node A3) are qualifying SM/phone-specific variables. In CLPN models, A2 and A3 appear as IVs with cross-lagged edges to individual-trait outcomes: e.g., A2 (problematic social media) predicts somatic complaints C3 (B=0.302), behavioral activation BAS (B=0.179), delinquent peer involvement E3 (B=0.108),..."
444,The effect of caffeine use in the relationship between gaming and sleep in adolescents: A mediation analysis.,2025,10.1556/2006.2025.00076,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific numeric estimate found anywhere in the paper. All exposure variables are gaming-only: daily gaming duration (hours/day) and VGAQ (Video Game Addiction Questionnaire, a generic gaming addiction scale). Platform is unspecified (single-player or online multiplayer video games)."
445,Situating problematic gaming and psychotic-like experiences in the adolescent landscape of affordances: A cohort study.,2026,10.1556/2006.2025.00094,EXCLUDE,FT-EC2,"Paquin et al. 2026 J Behav Addictions -- prospective cohort analysis of problematic gaming -> psychotic-like experiences (PLEs) in ABCD (N=6,467 gaming youth). Primary exposure is problematic gaming measured by Video Game Addiction Questionnaire (VGAQ-based, Bergen-adapted) -- gaming-alone without explicit mobile/phone modality, fails per binding clarification 2. SMAQ enters ONLY as a sensitivity covariate. Methods (p.323) explicitly frame SMAQ as a control variable: 'we additionally included problematic social media use..."
446,Connectome-based predictive modelling of problematic gaming in youth from the ABCD study.,2026,10.1556/2006.2025.00103,EXCLUDE,FT-EC2,"Step 1: The sole behavioral variable is VGAQ (Video Game Addiction Questionnaire), measuring problematic gaming severity. Platform is unspecified -- participants self-reported engagement with 'single-player or online multi-player video games' with no explicit mobile/phone-based gaming modality."
473,Passive Sensing of Preteens' Smartphone Use: An Adolescent Brain Cognitive Development (ABCD) Cohort Substudy.,2021,10.2196/29426,EXCLUDE,FT-EC2,Step 1: No numeric estimate found pairing a phone/SM-specific variable with an individual-trait-level outcome. All analyses either assess: (a) correlation between self-report and objective passive sensing (r=0.49) as a measurement-validity check -- other side is not an individual-trait outcome but a measurement method;
475,"Associations Among Cyberbullying Victimization, Inhibitory Control, Neural Activation of Error Processing, and Mental Health Problems in Adolescents: Neuroimaging, Retrospective Longitudinal Cohort Study Using the Adolescent Brain Cognitive Development Data",2026,10.2196/75126,EXCLUDE,FT-EC2,"Step 1: No results table or supplementary table presents a numeric estimate (beta, OR, r, etc.) where the variable label is phone/SM-specific (time on SM, named platform, texting, video chat, app use, MPIQ, SMAQ, etc.) paired with an individual-trait variable. Social media use appears only as a covariate (Table 1 reports group means; methods state it was included as a covariate in all analyses)."
521,Passive and social screen time in children with autism and in association with obesity.,2023,10.3389/fped.2023.1198033,INCLUDE,,"Step 1 hit: Table 2 reports ratio of means for 'Social and video chat minutes per day' separately (girls with autism 45.5 vs. 21.9 min, ratio=2.08, p=0.04); Table 3 reports prevalence ratio for texting and obesity (overall p=0.04, PR=1.42 for 30+ min)."
534,ADHD and gaming addiction in adolescents: psychosocial mediators in the adolescent brain cognitive development study.,2026,10.3389/fpsyt.2026.1756782,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific numeric estimate found anywhere in the paper. The primary outcome is VGAQ (Video Game Addiction Questionnaire), which measures gaming addiction symptoms for video games with platform unspecified. The predictors are ADHD diagnosis (KSADS-COMP) and psychosocial mediators (prosocial peer involvement, school involvement, family conflict, parental monitoring, etc.)."
541,Typologies of Family Functioning and 24-h Movement Behaviors.,2021,10.3390/ijerph18020699,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific coefficient found anywhere in the paper. Screen time is measured via the 'Youth Screen Time Survey (12 items)' and analyzed only as a composite daily screen time score (weighted average across weekday and weekend). No breakdown by modality (phone, social media, texting, etc.) appears in any table or supplementary material."
543,American Children's Screen Time: Diminished Returns of Household Income in Black Families.,2020,10.3390/info11110538,EXCLUDE,FT-EC2,"Step 1: No phone/SM-specific variable has its own coefficient anywhere in the paper. Step 2: The screen time DV is a multi-device aggregate -- Methods state parents reported time 'using different types of electronic devices (computer, cellphone, tablet, iPod, and other devices)' summed as a single weekday hours measure (screentime_ss_weekday)."
